,Eastern Bering Sea,Coastal WA,Salish Sea,Southcentral GoA
Coastal WA,p < 0.05*,-,-,-
Salish Sea,p < 0.05*,p < 0.05*,-,-
Southcentral GoA,p < 0.05*,0.93,1,-
Southeast GoA,p < 0.05*,1,p < 0.05*,0.28
